,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-0.463330380883299,,Intercept,335.5816703751609,336.0,0.41832962483908886,336.0
1,1,grade:A,0.9428642707914751,5.290853941719267e-25,grade,81.18922390520058,81.0,-0.18922390520057775,81.0
2,2,grade:B,0.7301666220749903,2.5001022896800316e-32,grade,62.87401400626535,63.0,0.1259859937346519,63.0
3,3,grade:C,0.5472890246167466,1.0978256819388998e-21,grade,47.12658283590315,47.0,-0.12658283590315023,47.0
4,4,grade:D,0.3721002695762449,7.008305124846634e-12,grade,32.04123121183859,32.0,-0.041231211838592685,32.0
5,5,grade:E,0.21831063474949877,5.910955397324526e-06,grade,18.798539253889583,19.0,0.20146074611041698,19.0
6,6,grade:F,0.049030204739546814,0.32720232055199416,grade,4.221948369488353,4.0,-0.22194836948835306,4.0
7,7,home_ownership:OWN,0.09619042984432687,1.869831966349686e-06,home_ownership,8.28287441586142,8.0,-0.2828744158614196,8.0
8,8,home_ownership:MORTGAGE,0.10473667228400144,1.1775308946744025e-16,home_ownership,9.018783933782183,9.0,-0.018783933782183126,9.0
9,9,addr_state:NM_VA,0.044846424458451384,0.16090738697562335,addr_state,3.861686681210695,4.0,0.13831331878930486,4.0
10,10,addr_state:NY,0.06992169836235017,0.0038713327433896106,addr_state,6.020896750501911,6.0,-0.020896750501910866,6.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.0669618861535495,0.00377193128032152,addr_state,5.766029890464948,6.0,0.23397010953505237,6.0
12,12,addr_state:CA,0.0736592813230941,0.0005001196018196236,addr_state,6.342736774845364,6.0,-0.34273677484536424,6.0
13,13,addr_state:UT_KY_AZ_NJ,0.08880960853070195,0.00035887030543241955,addr_state,7.647318299461821,8.0,0.35268170053817904,8.0
14,14,addr_state:AR_MI_PA_OH_MN,0.14587694896574246,8.951952463073888e-11,addr_state,12.561337447059266,13.0,0.438662552940734,13.0
15,15,addr_state:RI_MA_DE_SD_IN,0.11382317675123987,0.00013647042691808958,addr_state,9.801214945922405,10.0,0.19878505407759484,10.0
16,16,addr_state:GA_WA_OR,0.19664388764756363,1.604553194339717e-13,addr_state,16.932834468746215,17.0,0.0671655312537851,17.0
17,17,addr_state:WI_MT,0.24364530799238576,2.878467382775385e-07,addr_state,20.98008597508966,21.0,0.019914024910338668,21.0
18,18,addr_state:TX,0.2326725922862214,3.161379106156839e-19,addr_state,20.035234950489837,20.0,-0.03523495048983705,20.0
19,19,addr_state:IL_CT,0.2721299110095499,1.1407046125733329e-20,addr_state,23.432870414858467,23.0,-0.432870414858467,23.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.33434489384733357,2.3448000094598092e-27,addr_state,28.790148581348834,29.0,0.20985141865116574,29.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5015606221962706,1.5568945055000775e-21,addr_state,43.188949797982865,43.0,-0.1889497979828647,43.0
22,22,verification_status:Not Verified,0.08036516570760109,3.652312140781121e-08,verification_status,6.920174658157136,7.0,0.07982534184286383,7.0
